Group ID;GUID;CTSS Name;OBJD Name;Game Version
0x7F26A954;0x72BBA289;The Rock Hammer;Accessory - Band - Guitar - Career;Seasons
0x7F675AD4;0x9242611E;The Back Forty Armoire;Armoire - Medium - Country;Seasons
0x7F944083;0x7142DA05;Vrooom! Armoire;Armoire - Small - Racecar;Seasons
0x7F4C5B53;0xD226BDCE;Weathernaught 57X;Aspiration Reward - Weather Control Device;Seasons
0x7F782A0F;0x921AE19A;Beach Party Bar;Bar - Island - Tiki;Seasons
0x7FF81801;0xB24261A7;The Four Post Bed;Bed - Double - Country;Seasons
0x7F89C1F3;0x3242621C;The Single Bed a la Mode;Bed - Single - Country;Seasons
0x7FFA446E;0x9142DA68;Vrooom! Sleep System;Bed - Single - Racecar;Seasons
0x7FEC4281;0x524E1066;Books First for Learning: A Bookshelf of Education;Career - Bookcase;Seasons
0x7F195841;0x324D0D87;The Rock Hammer;Career - Guitar;Seasons
0x7F2B6703;0xD24CE39C;The Gootentaugen Award for Excellence in Journalism;Career - Journalism Award;Seasons
0x7F06DEB2;0x124E3138;I Object Litigator Podium;Career - Lectern;Seasons
0x7FC56DF9;0xF24CFF80;Tribal Flame a la Coconut Pinball;Career - Pinball;Seasons
0x7F540DC3;0xD24D09FD;Golden Skull of Jumbok IV;Career - Tiki;Seasons
0x7FF6B370;0x523A3D31;Auntie May's Bar Stool;Chair - Barstool - Country;Seasons
0x7F740B20;0x721C32FA;Beach Party Barstool;Chair - Barstool - Tiki;Seasons
0x7F94CBB2;0x921ABCDF;The Exquisite Bistro Chair by Bourgeois Design;Chair - Dining - Bistro;Seasons
0x7F89FACF;0xD23A402B;The Cozinator 450;Chair - Dining - Country;Seasons
0x7FFA7F52;0x3142DAA2;Vrooom! Dining Chair;Chair - Dining - Racecar;Seasons
0x7F661593;0x921C336F;Bamboo Chair by Island Lumberjacks;Chair - Dining - Tiki;Seasons
0x7F4E54A4;0xF21C37E4;Tabu Living Chair from Nothing Atoll;Chair - Living - Tiki;Seasons
0x7F7532D8;0x321C38BF;Final Moments Lounge from Nothing Atoll;Chair - Lounge - Tiki;Seasons
0x7F095901;0x923A497E;Blue Ribbon Countertop;Counter - Country;Seasons
0x7F5A9CCD;0x121AD416;CocoCounter from Nothing Atoll;Counter - Tiki;Seasons
0x7F2901AD;0xF23A4BC8;Country Fried Island Counter from McKraken Industries;Counter Island - Country;Seasons
0x7F244204;0x721ADAE9;Tiki Island Counter;Counter Island - Tiki;Seasons
0x7F235A0C;0xD23AC2F8;Window Dressing;Curtains - Country Two Tile;Seasons
0x7F653BF1;0x524262DE;The Rollin' Secretary from McKraken Industries;Desk - Country;Seasons
0x7F16BE6C;0x9142DAFA;Vrooom! Desk;Desk - Racecar;Seasons
0x7FB71A14;0x923A5BC6;Storm-Proof Hatch;Door - 1 Tile - Country;Seasons
0x7FC9AB6C;0xF23A596F;Fragrancer 8000;Door - 1 Tile - Country Arch;Seasons
0x7F3DAB9A;0x923A5CF3;The Wooden Curve;Door - 1 Tile - CountryInterior;Seasons
0x7F563F0A;0xF242648D;The Crustikus Dresser by Earl Crustikus IV;Dresser - Medium - Country;Seasons
0x7FEEAF47;0x7142DB52;Pit Stop Dresser by Zoom Arts;Dresser - Small - Racecar;Seasons
0x7FF20494;0x3264ACDA;Shoddy Fireplace;Fireplace Hearth - Hobo;Seasons
0x7F471479;0x12159F33;The Flowy Floater;Fountain - Pond;Seasons
0x7F77963B;0xB25C8B5E;Hole-y Pots Cascading Waterfall;Fountain - TieredGarden;Seasons
0x7F60DAF4;0xD243C736;Garden Schpritzer 180;Garden - Auto Sprinkler 180;Seasons
0x7F09095C;0xD243C742;Garden Schpritzer 360;Garden - Auto Sprinkler 360;Seasons
