Group ID;GUID;CTSS Name;OBJD Name;Game Version
0x7F0BB1DC;0x8C648EFF; The Simple Weeping Willow;Tree - Willow;Base Game
0x7FBCF85D;0x4CDBB655;"#4234" by C. Lee Funkensnooz;Bed - Double - UM;Base Game
0x7F8F7C08;0xECA16D1A;"4 by 4" Designer Chandelier;Lamp - Ceiling - Designer;Base Game
0x7FFA0C8F;0x8C8EDD7A;"Anti-Quaint-Ed" Ltd. Ed. Armoire;Armoire - Quaint;Base Game
0x7FBAEFFA;0x6C760E64;"Arch of Antiquity";Window - Moroccan With Bars;Base Game
0x7FA08D13;0x2D124597;"At Stake" Picket Gate;Gate - Picket Fence;Base Game
0x7F8976DB;0xCC75B81E;"Blue Sky" Bonsai Tree;Plant - Decorative - Small Bonsai;Base Game
0x7F6146DB;0x1427F5DF;"Bowl of Plastic Fruit";Sculpture - Fruit Bowl;Base Game
0x7FB55248;0xCCCE4DFD;"Boxy Lady";Shrub - 4;Base Game
0x7F6E1ED0;0xEC4BBEAC;"Civic Idol" by Adora Wall Arts;Painting - Poster - Worship;Base Game
0x7F3D5B3F;0x4BD90A8A;"Coloratura" by Chrome Concepts;Shower - Expensive;Base Game
0x7F7EDDE7;0x8C7EF57C;"Coming Up Roses" Loveseat by OakTowne;Sofa - Loveseat - Quaint;Base Game
0x7FCEE87E;0xACAD6135;"Diamondback" by Desert Designs;Chair - Dining - UM Diamond;Base Game
0x7FA7321D;0xAE095B76;"Election Day" Retro Space-Age Action Pinball;Pinball Machine - UFO;Base Game
0x7FD674E1;0x4C76113A;"Empeerical" Art Window;Window - 2 Tile - Art Nouveau Round;Base Game
0x7F49C765;0x4CA58F60;"End-to-End" Table;Table - Coffee End - Designer;Base Game
0x7F25F67D;0x8C4BBE87;"Engineered Angst" Full-Color Poster;Painting - Poster - Teen Angst;Base Game
0x7FB120C9;0x2CA16B7A;"Engineered Angst" Poster in Red;Painting - Poster - Teen Angst Red;Base Game
0x7F99CA7A;0xCCD8E25A;"Flight-Away" Model Plane;Sculpture - Model Plane;Base Game
0x7FC57232;0x6CC52A32;"Food Shrine" Commercial Display Freezer;Display - Food - Freezer Case;Base Game
0x7FA1593E;0xED23E6CF;"Food Temple" Commercial Display Freezer;Display - Food - Freezer Case - Alt;Base Game
0x7F524F55;0x8CA16F07;"Founding Fathers" Electric Lamp;Lamp - Table - Colonial;Base Game
0x7F8F0E90;0xEC788503;"Garden Fresh" Pedestal Sink;Sink - QuaintPedestal;Base Game
0x7FAF6C4A;0x8C6CC5AC;"Immobile Chimes" Mobile in Steel;Sculpture - Chimes;Base Game
0x7FA6A5A2;0xACC50126;"In the Beginning";Painting - Horizontal - Applehead;Base Game
0x7F598DFD;0xECBD0456;"It's MYSHUNO!" (The Fabulously Zany Party Game);Game - Bingo;Base Game
0x7F9B6428;0x8C6375C9;"Keister Kompanion" Barstool;Chair - Barstool - Value;Base Game
0x7F1E9B81;0xCC0C1E00;"Matte & Glass " Front Door;Door - 2 Tile - Front Loft;Base Game
0x7F16B7FC;0x6C897DAC;"Matte & Glass " Glassless Arch;Door - 2 Tile - Front Loft Arch;Base Game
0x7F62173E;0x10F0FEE3;"Mentionable" Porcelain Toilet;Toilet - Expensive;Base Game
0x7FF485FF;0x49FA1024;"Midnight Ride" Window by Cross-Reference;Window - Colonial Double Hung;Base Game
0x7F100CA9;0xCC258F71;"Obviously Modern" Wall Mirror;Mirror - Loft;Base Game
0x7FCCB85F;0xCCDB72CE;"On A Pedestal" by Yucan Byall;Sculpture - Venus;Base Game
0x7F9DC8C4;0x0CFB31DD;"Outdoor Ergo" Ergonomic Chair by G�dfoer-Ebadi Furnishings;Chair - Dining - Community;Base Game
0x7F8905AA;0x6C859EC7;"Peace of Garbage" Can;Trash Can - Inside Value;Base Game
0x7F0EB2B2;0xCC844324;"Perfectly Square" Gate by EnTrance;Gate - ArtNouveau Fence;Base Game
0x7F397E59;0x0CA6C09E;"Phantastic" Phlox!;Shrub - Creeping Phlox;Base Game
0x7F0F2B11;0xED124CCF;"Pigue Pen" Metal Gate;Gate - Deck Metal;Base Game
0x7F0F37DE;0x6CDA04FD;"Poisonous Forest (In Love with a Curse)";Painting - Art Nouveau Swamp Print;Base Game
0x7FD662C4;0xACAD66E7;"Rave Against the Machine" Nightclub Lamp;Lamp - Floor - UM;Base Game
0x7F9B494E;0xCC6CC226;"Red vs. Blue" Oil Portrait ;Painting - Square - Meg;Base Game
0x7FD16D18;0xAC4BBE2B;"Searing Indifference" Wall Poster;Painting - Poster - Fire;Base Game
0x7FB28AB2;0x8CAD84E2;"Seatris" by Ima Hack;Sofa - UM Diamond;Base Game
0x7F31133F;0xECD8C479;"SimCity at Night";Painting - Horizontal - City;Base Game
0x7F463583;0xCC9076AA;"Stare Stepper" Staircase;Stairs - Straight - Designer;Base Game
0x7FE6E5C1;0x6C75C415;"Stiff" by Superfluous Seating;Chair - Barstool - Art Nouveau;Base Game
0x7F9B3F3E;0x0CD8C44B;"Suspense";Painting - Horizontal - Bridge;Base Game
0x7F9FA548;0x0C7B5397;"The Fourth Element" Wall Hanging;Painting - Central Asian Wall Tapestry;Base Game
0x7F5EA2CF;0x8CA69957;"The Measure of a Sim" Wooden Model;Sculpture - Wooden Model;Base Game
0x7F1EFC42;0xACDA112D;"The Monster Under My Bed" by Little Timmy;Painting - Poster - Kid Painting 3;Base Game
0x7F580A10;0xACC9120A;"Thrice As Nice" Floor Lamp by Lumpen Lumeniat;Lamp - Floor - Value;Base Game
0x7F017E86;0xBCCA44AB;"Transcendence" by Joan Schnitzel;Painting - Square - Fruit;Base Game
0x7F54D4AF;0x79B5594A;"Truly" Stained-Glass Window;Window - Gothic Stained Glass - Master;Base Game
0x7FEC7A99;0x8CA681D7;"Ultra Funky Curtain Clothes";Curtains - Loft Short;Base Game
0x7F0F7285;0xAC7CBAB6;"Up, Up, and Away" Column;Column - Moroccan;Base Game
0x7FF3B033;0xCC7B4A24;"Wall Flowers" Sconce ;Lamp - Wall - Quaint;Base Game
0x7FA2B7B0;0x6CC532FB;"Wear's the Sale?" Shop Sign;Sign - Clothing;Base Game
0x7F5ED6A3;0xACA16F8B;"Whodunnit?" Table Lamp;Lamp - Table - Colonial 2;Base Game
0x7F02EDEC;0xECDA1186;"Winter Blossoms";Painting - Poster - Oriental Painting;Base Game
0x7FB1089E;0xED12486A;"Wrought Weiler" Iron Gate;Gate - Wrought Iron;Base Game
0x7FCFE070;0x8CB284A3;'Right Away' Community Trash-Can;Trash Can - Community;Base Game
0x7FBBDB8E;0x6C734DB3;* (0x7FBBDB8E phone_handset_accessory);Phone - Handset;Base Game
0x7F4A3C58;0xEC6A3430;12th Century Song Dynasty Sculpted Vase;Sculpture - ChinaVase;Base Game
0x7FD31EE2;0xAC80A26B;? = (C^11)?;Chair - Lounge - Designer;Base Game
0x7FA20E7C;0x0CCE4E0F;A-maze-ing Hedge;Shrub - 4 - Tall;Base Game
0x7FC34FCB;0x0C7B3B0D;Absolutely Nothing Special;Lamp - Table - Moroccan;Base Game
0x7F6BCC79;0x8C760E7B;Ad-a-Quaint Barstool;Chair - Barstool - Quaint;Base Game
0x7F1F48C6;0xCC761C1B;Ad-a-Quaint Coffee Table;Table - Coffee - Quaint;Base Game
0x7F35AFC3;0xEC7CB97D;Aggressive Accents Column;Column - Designer;Base Game
0x7F64EC78;0xF048E8F0;Almost Deco Wall Sconce;Lamp - Wall - Decksconce;Base Game
0x7FD5592F;0x6C907C09;Altitude Attitude, Inc. "Step-By-Step" Staircase;Stairs - Straight - Club;Base Game
0x7F9B042A;0x8CA684BC;Aluminium Privacy Blinds by P. King Tom Trading Co.;Curtains - Blinds Value;Base Game
0x7FD7665C;0xCC7CB400;Amishim "Metropole" Column;Column - Art Nouveau;Base Game
0x7F372FAC;0x8CA69948;Ancient Transport Urn Sculpture;Sculpture - Urn;Base Game
0x7FD704EA;0x6CC92C1E;Antebellum Wall Lamp;Lamp - Wall - Colonial;Base Game
0x7FF5DF0A;0x57F68405;Antique Lace Curtains;Curtains - Lace Short;Base Game
0x7FE887A1;0x0C7B49C2;Antique Metal Sconce;Lamp - Wall - Moroccan;Base Game
0x7FFC77BB;0x8C995A8D;Antonio's Prize-Winning Wedding Cake;Food - Cake - Wedding;Base Game
0x7FE49C88;0xACC503CB;Anytime Candles;Sculpture - Table - Candle Collection;Base Game
0x7F70887D;0xAC6CC548;Apple of the Eye;Sculpture - Big Apple;Base Game
0x7F0B99A9;0xCCBC7300;AquaBox Five-Gallon Aquarium;Aquarium Expensive;Base Game
0x7FCEE384;0xCC58DF85;AquaGreen Hydroponic Garden;Career - Hydroponic Garden;Base Game
0x7F222D81;0x0BFB3DBD;AquaPlus Shower Stall;ShowerTub;Base Game
